Name,Amount,Date,Audit Status,URL
Elephant Money - REKT,22200000,04/12/2021,Solidity Finance,https://rekt.news/elephant-money-rekt/
"Blizz Finance, Venus Protocol - REKT",21800000,05/13/2022,n/a,https://rekt.news/venus-blizz-rekt/
Transit Swap - REKT,21200000,10/02/2022,Out of scope,https://rekt.news/transit-swap-rekt/
Unizen - Rekt,21000000,03/08/2024,"Halborn, Verichains",https://rekt.news/unizen-rekt/
Sonne Finance - Rekt,20000000,05/15/2024,yAudit,https://rekt.news/sonne-finance-rekt/
Popsicle Finance - REKT,20000000,08/03/2021,Peckshield,https://rekt.news/popsicle-rekt/
Pickle Finance - REKT,19700000,11/22/2020,Unaudited,https://rekt.news/pickle-finance-rekt/
Uwulend - Rekt,19400000,06/10/2024,Peckshield,https://rekt.news/uwulend-rekt/
Cream Finance - REKT,18800000,08/30/2021,Unaudited,https://rekt.news/cream-rekt/
Snowdog - REKT,18100000,11/25/2021,Unaudited,https://rekt.news/snowdog-rekt/
bEarn - REKT,18000000,05/17/2021,Unaudited,https://rekt.news/bearn-rekt/
Curio - REKT,16000000,03/23/2024,N/A,https://rekt.news/curio-rekt/
Indexed Finance - REKT,16000000,10/14/2021,Unaudited,https://rekt.news/indexed-finance-rekt/
Team Finance - REKT,15800000,10/27/2022,Zokyo Security,https://rekt.news/teamfinance-rekt/
Inverse Finance - REKT,15600000,04/02/2022,Unaudited,https://rekt.news/inverse-finance-rekt/
Eminence - Rekt in prod,15000000,09/28/2020,Unaudited,https://rekt.news/eminence-rekt-in-prod/
Furucombo - REKT,14000000,02/27/2021,Unaudited,https://rekt.news/furucombo-rekt/
M2 Exchange - Rekt,13700000,10/31/2024,N/A,https://rekt.news/m2-exchange-rekt/
Deus DAO - REKT 2,13400000,04/28/2022,Armor Labs,https://rekt.news/deus-dao-rekt-2/
Ronin Network - Rekt II,12000000,08/07/2024,Unaudited,https://rekt.news/roninnetwork-rektII/
Compounder Finance - REKT,12000000,12/02/2020,out of scope,https://rekt.news/deathbed-confessions-c3pr/
"Agave DAO, Hundred Finance - REKT",11700000,03/15/2022,Unaudited,https://rekt.news/agave-hundred-rekt/
PrismaFi - REKT,11600000,03/28/2024,PrismaFi,https://rekt.news/prismafi-rekt/
Yearn - REKT 2,11400000,04/13/2023,Unaudited,https://rekt.news/yearn2-rekt/
Saddle Finance - REKT 2,11000000,12/02/2021,Unaudited,https://rekt.news/saddle-finance-rekt2/
Value DeFi - REKT 3,11000000,05/07/2021,Unaudited,https://rekt.news/value-rekt3/
Yearn - REKT,11000000,02/05/2021,Unaudited,https://rekt.news/yearn-rekt/
Dego Finance - REKT,10000000,02/10/2022,Peckshield,https://rekt.news/dego-finance-rekt/
Arbix Finance - REKT,10000000,01/04/2022,Certik,https://rekt.news/arbix-rekt/
Rari Capital - REKT,10000000,05/08/2021,Quantstamp,https://rekt.news/rari-capital-rekt/
Value DeFi - REKT 2,10000000,05/05/2021,Unaudited,https://rekt.news/value-rekt2/
