"Cryptocurrency","Year","FileName"
"BioCoin","31/08/2017","BioCoin.txt"
"Bionic","01/03/2018","Bionic.txt"
"BipCoin","01/08/2017","BipCoin.txt"
"Bismuth","13/08/2019","Bismuth.txt"
"BitBay","12/07/2014","BitBay.txt"
"BitBean","13/02/2015","BitBean.txt"
"Bitblocks","20/11/2018","Bitblocks.txt"
"Bitbook Gambling","01/01/2019","Bitbook Gambling.txt"
"BitCash","01/08/2017","BitCash.txt"
"bitCEO","01/11/2018","bitCEO.txt"
"Bitcloud Pro","01/02/2020","Bitcloud Pro.txt"
"BitCoen","28/11/2017","BitCoen.txt"
"Bitcoiin2Gen","03/12/2018","Bitcoiin2Gen.txt"
"bitcoin","03/01/2009","bitcoin.txt"
"Bitcoin Cash","02/08/2017","Bitcoin Cash.txt"
"Bitcoin Dark","01/08/2014","Bitcoin Dark.txt"
"Bitcoin Gold","08/11/2017","Bitcoin Gold.txt"
"Bitcoin Green","28/12/2017","Bitcoin Green.txt"
"Bitcoin Private","01/02/2018","Bitcoin Private.txt"
"Bitcoin Red","01/11/2017","Bitcoin Red.txt"
"Bitcoin Rhodium","01/02/2019","Bitcoin Rhodium.txt"
"Bitcoin Token","22/11/2019","Bitcoin Token.txt"
"Bitcoin Turbo Koin","31/03/2018","Bitcoin Turbo Koin.txt"
"Bitcoin W Spectrum","30/06/2018","Bitcoin W Spectrum.txt"
"BitcoinHD","31/08/2018","BitcoinHD.txt"
"BitcoiNote","09/11/2018","BitcoiNote.txt"
"BitcoinSV","10/11/2018","BitcoinSV.txt"
"Bitdeal","12/10/2017","Bitdeal.txt"
"BitDegree","09/10/2017","BitDegree.txt"
"Bitforex","10/07/2018","Bitforex.txt"
"bitJob","12/09/2017","bitJob.txt"
"Bitmax Token","10/06/2019","Bitmax Token.txt"
"bitnautic","09/04/2018","bitnautic.txt"
"BitNewChain","18/03/2018","BitNewChain.txt"
"bitqy","12/12/2017","bitqy.txt"
"BitRent","07/12/2017","BitRent.txt"
"BitRewards","30/01/2017","BitRewards.txt"
"BitScreener","18/05/2018","BitScreener.txt"
"Bitsdaq","01/02/2019","Bitsdaq.txt"
"BitShares","13/10/2015","BitShares.txt"
"Bitspark","01/07/2018","Bitspark.txt"
"BitStash","08/02/2019","BitStash.txt"
"Bittorrent","08/05/2019","Bittorrent.txt"
"Bittwatt","16/01/2018","Bittwatt.txt"
"BitUP","17/09/2018","BitUP.txt"
"BitWhite","02/02/2018","BitWhite.txt"
"Bizkey","10/10/2018","Bizkey.txt"
"BlackCoin","03/03/2014","BlackCoin.txt"
"Blackmoon","27/02/2018","Blackmoon.txt"
"Block Chain","01/10/2018","Block Chain.txt"
"Block Logic","01/06/2018","Block Logic.txt"
"BlockBurn","04/07/2019","BlockBurn.txt"
"BlockCAT","05/01/2018","BlockCAT.txt"
"Blockcloud","01/01/2017","Blockcloud.txt"
"Blockium","01/06/2018","Blockium.txt"
"Blocklancer","18/06/2018","Blocklancer.txt"
"BlockMason Credit","13/12/2017","BlockMason Credit.txt"
"Blockmason Link","01/11/2018","Blockmason Link.txt"
"BlockMesh","31/10/2017","BlockMesh.txt"
"Blocknet","15/03/2018","Blocknet.txt"
"Blockpass","31/05/2018","Blockpass.txt"
"Blockport","01/03/2018","Blockport.txt"
"Blockstack","01/05/2019","Blockstack.txt"
"BlockStamp","30/01/2019","BlockStamp.txt"
"Blocktix","20/09/2017","Blocktix.txt"
"Blocktrade","01/09/2017","Blocktrade.txt"
"Bloom","27/01/2018","Bloom.txt"
"BLUE","12/04/2018","BLUE.txt"
"Blue Whale","05/02/2018","Blue Whale.txt"
"Bluzelle","11/12/2017","Bluzelle.txt"
"BnkToTheFuture","01/11/2017","BnkToTheFuture.txt"
"BoatPilot","09/01/2018","BoatPilot.txt"
"Bodhi","01/12/2017","Bodhi.txt"
"BonusCloud","11/01/2019","BonusCloud.txt"
"BookingTokenUnit","22/03/2018","BookingTokenUnit.txt"
"Boolberry","01/08/2014","Boolberry.txt"
"BORA","30/05/2018","BORA.txt"
"BOSAGORA","16/01/2020","BOSAGORA.txt"
"BOScoin","01/11/2016","BOScoin.txt"
"Bottos","01/04/2018","Bottos.txt"
"botXcoin","10/11/2018","botXcoin.txt"
"Bounty0x","08/06/2018","Bounty0x.txt"
"Boutspro","29/10/2018","Boutspro.txt"
"BQT","01/07/2017","BQT.txt"
"BrahmaOS","14/03/2018","BrahmaOS.txt"
"BrazilCoin","10/11/2018","BrazilCoin.txt"
"Bread","24/10/2017","Bread.txt"
"Bridge","10/08/2018","Bridge.txt"
"BTCMoon","01/10/2017","BTCMoon.txt"
"Budbo","27/02/2018","Budbo.txt"
"Bulleon","16/10/2018","Bulleon.txt"
"Bulwark","01/10/2018","Bulwark.txt"
"BunnyToken","13/03/2018","BunnyToken.txt"
"Burst Coin","27/12/2017","Burst Coin.txt"
"BuzzCoin","14/07/2019","BuzzCoin.txt"
"Byteball","25/12/2016","Byteball.txt"
"Bytecoin","14/07/2014","Bytecoin.txt"
"Bytom","29/09/2017","Bytom.txt"
"Cajutel","01/08/2017","Cajutel.txt"
"Callisto Network","10/06/2018","Callisto Network.txt"
"CampusCoin","31/03/2018","CampusCoin.txt"
"Canlead","23/09/2019","Canlead.txt"
"CannaCoin","28/03/2014","CannaCoin.txt"
"Capdax","01/02/2018","Capdax.txt"
"CARAT","01/07/2018","CARAT.txt"
"Cardano","01/09/2016","Cardano.txt"
"CARDbuyers","14/08/2018","CARDbuyers.txt"
"CardStack","04/07/2018","CardStack.txt"
"Carry","08/05/2018","Carry.txt"
"carVertical","01/11/2017","carVertical.txt"
"cashaa","01/01/2018","cashaa.txt"
"CasinoCoin","01/06/2019","CasinoCoin.txt"
"Caspian","01/05/2018","Caspian.txt"
"Castle","01/07/2018","Castle.txt"
"Cazcoin","01/07/2018","Cazcoin.txt"
"Ccore","09/12/2017","Ccore.txt"
"CEDEX","18/03/2018","CEDEX.txt"
"CEEK VR","16/04/2018","CEEK VR.txt"
"Celer Network","15/06/2018","Celer Network.txt"
"Celsius","01/02/2018","Celsius.txt"
"Centrality","09/01/2018","Centrality.txt"
"CFun","15/02/2018","CFun.txt"
"ChainLink","04/09/2017","ChainLink.txt"
"ChainX","26/07/2019","ChainX.txt"
"ChatCoin","01/03/2018","ChatCoin.txt"
