timestamp,coin,price_usd
2025-02-15T14:47:10.851708,bitcoin,97470
2025-02-15T14:47:10.851708,ethereum,2683.77
2025-02-15T14:48:02.031337,bitcoin,97470
2025-02-15T14:48:02.031337,ethereum,2683.77
