coin_id,avg_volume,date,volume,previous_volume,volume_change_percentage,spike_ratio
bitcoin,45888741673.85168,2025-01-10,59650623922.680626,38080611783.897224,56.64302942712832,1.2998967011699678
bitcoin,45888741673.85168,2025-01-11,25929288694.17721,15794729480.498713,64.1641835410435,0.56504684478965
bitcoin,45888741673.85168,2025-02-02,34844975742.23547,23015348982.818996,51.39885894516445,0.7593360478239227
bitcoin,45888741673.85168,2025-02-02,61901167209.33174,35209897594.59467,75.80615519550571,1.3489401746791472
bitcoin,45888741673.85168,2025-02-16,10922443039.37593,7168382996.288533,52.369691254374686,0.2380201034276727
tether,67611715520.21396,2024-12-27,79172874556.40666,43316460987.35564,82.77780029055872,1.1709934283909162
tether,67611715520.21396,2024-12-27,81724983660.40526,46221020154.13123,76.81345714110267,1.2087399799221459
tether,67611715520.21396,2024-12-27,76233319810.52574,49823293837.36457,53.007386583813506,1.1275164255776673
tether,67611715520.21396,2024-12-27,85958857096.18233,46904253008.741974,83.26452631099656,1.2713603912399338
tether,67611715520.21396,2024-12-28,86855082059.96138,39758209005.763596,118.45823600195453,1.2846158597173032
tether,67611715520.21396,2024-12-28,43590353485.76405,27558031042.82038,58.17658895162806,0.6447159808085596
tether,67611715520.21396,2024-12-28,51874021722.02746,23041620076.975433,125.13183338988863,0.7672342185507572
tether,67611715520.21396,2024-12-28,49996032496.52475,28133100147.736675,77.71248896843301,0.739458126625664
tether,67611715520.21396,2024-12-28,46521902712.03612,28866700483.05491,61.161136997091226,0.6880745792957643
tether,67611715520.21396,2024-12-29,43572221077.99334,22496304644.226738,93.68612653089825,0.6444477964024814
tether,67611715520.21396,2024-12-29,47226017680.101776,22479836084.93766,110.08168165311932,0.6984886763593886
tether,67611715520.21396,2024-12-29,40298556814.77938,25247588567.04936,59.61348826546171,0.5960292015180605
tether,67611715520.21396,2024-12-29,45027906775.682724,20590964170.87483,118.67799099652198,0.6659778771952721
tether,67611715520.21396,2024-12-29,38604512824.61845,24359099016.387814,58.48087319915608,0.5709737214562587
tether,67611715520.21396,2024-12-30,60608842177.347084,31038772139.84283,95.26816945038466,0.8964251492661325
tether,67611715520.21396,2024-12-30,65274092753.73393,35522091594.035286,83.75633253728355,0.9654257734995476
tether,67611715520.21396,2024-12-30,72655373466.69116,37906388292.99197,91.67052504478116,1.0745973964374458
tether,67611715520.21396,2024-12-30,55848577313.32853,32076959186.247887,74.10807860263785,0.8260192317799038
tether,67611715520.21396,2024-12-30,96961688238.94368,48235210571.61874,101.01848232833312,1.4340959624069134
tether,67611715520.21396,2024-12-31,91758623209.12424,46282127394.872314,98.25930304856806,1.3571408816226687
tether,67611715520.21396,2024-12-31,68309433769.03523,38048906744.34716,79.53060840357472,1.0103194874357637
tether,67611715520.21396,2024-12-31,92958984960.7184,51718769476.012054,79.73935942894809,1.3748946354264053
tether,67611715520.21396,2024-12-31,80616762455.53325,47994996412.324036,67.96909778460297,1.192349015777172
tether,67611715520.21396,2024-12-31,80019457089.77985,43550325469.42535,83.74020452719184,1.1835146686354427
tether,67611715520.21396,2025-01-01,65359128327.48744,36648511203.95355,78.3404732698573,0.9666834782197908
tether,67611715520.21396,2025-01-01,58624734594.53039,27370436071.053997,114.18999113620198,0.8670795311650283
tether,67611715520.21396,2025-01-01,46997688049.64431,29020537188.261837,61.9463063166654,0.6951116043726675
tether,67611715520.21396,2025-01-01,44379340744.94042,27826127873.668404,59.48802128138052,0.6563853675872531
tether,67611715520.21396,2025-01-01,45121038417.09769,26579998878.081333,69.75560692858363,0.6673553254776947
tether,67611715520.21396,2025-01-02,52891397678.09237,25538311399.214466,107.10608799186016,0.7822815509285422
tether,67611715520.21396,2025-01-02,51249684840.72897,28741911770.39278,78.30993724475067,0.7580000662075612
tether,67611715520.21396,2025-01-02,59298198815.2662,27342294876.3365,116.87352536961362,0.8770402933724961
tether,67611715520.21396,2025-01-02,69670208352.36304,30819072467.16963,126.06198945987109,1.0304458009430872
tether,67611715520.21396,2025-01-02,61247268037.55415,29175881734.15379,109.92430870000767,0.9058676823433505
tether,67611715520.21396,2025-01-02,69285128236.7866,38579276914.65406,79.5915677477852,1.0247503365902961
tether,67611715520.21396,2025-01-03,79292011317.5263,35525666757.4208,123.19640573941754,1.1727555011353066
tether,67611715520.21396,2025-01-03,68246477580.545235,45025470075.5277,51.57304846804618,1.0093883442454807
tether,67611715520.21396,2025-01-03,58068910630.63113,32144688611.70639,80.64853989434417,0.858858707900559
tether,67611715520.21396,2025-01-03,71617811618.13431,25335593979.665325,182.67666302047502,1.0592515079242832
tether,67611715520.21396,2025-01-03,67706783196.422195,42202995222.12772,60.431227309957414,1.0014060828878069
tether,67611715520.21396,2025-01-03,72073207567.04826,39130529907.66225,84.18663825182554,1.0659869670885729
tether,67611715520.21396,2025-01-04,79017080261.8653,51911619408.55081,52.21463164150435,1.1686891784049092
tether,67611715520.21396,2025-01-04,73710442185.21802,37144568544.12768,98.44204704558662,1.0902022174423414
tether,67611715520.21396,2025-01-04,63309832012.81103,39279096582.8827,61.179450446934666,0.9363736968615034
tether,67611715520.21396,2025-01-04,69147715986.9399,26269673448.59782,163.22259438147202,1.022717963224387
tether,67611715520.21396,2025-01-04,54667680869.4135,19130934369.14598,185.75541484048227,0.8085533764199406
tether,67611715520.21396,2025-01-05,43665181163.41883,24191391616.597675,80.49883965112706,0.6458227073141517
tether,67611715520.21396,2025-01-05,44456624561.099754,24549607071.69978,81.0889454615684,0.6575284212069504
